HostName,TimeStamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
bigdata-proj-m,46,3,14.29,0.00,3.06,1.02,0.00,81.63
bigdata-proj-m,47,all,28.10,0.00,3.29,0.51,0.00,68.10
bigdata-proj-m,47,0,19.39,0.00,5.10,0.00,0.00,75.51
bigdata-proj-m,47,1,67.00,0.00,1.00,0.00,0.00,32.00
bigdata-proj-m,47,2,14.14,0.00,3.03,1.01,0.00,81.82
bigdata-proj-m,47,3,12.12,0.00,3.03,1.01,0.00,83.84
bigdata-proj-m,48,all,21.77,0.00,5.06,0.51,0.00,72.66
bigdata-proj-m,48,0,17.00,0.00,3.00,1.00,0.00,79.00
bigdata-proj-m,48,1,37.37,0.00,4.04,1.01,0.00,57.58
bigdata-proj-m,48,2,20.79,0.00,8.91,0.00,0.00,70.30
bigdata-proj-m,48,3,10.42,0.00,5.21,0.00,0.00,84.38
bigdata-proj-m,49,all,12.81,0.00,7.29,0.75,0.00,79.15
bigdata-proj-m,49,0,14.43,0.00,6.19,0.00,0.00,79.38
bigdata-proj-m,49,1,10.00,0.00,6.00,1.00,0.00,83.00
bigdata-proj-m,49,2,12.00,0.00,7.00,1.00,0.00,80.00
bigdata-proj-m,49,3,15.00,0.00,10.00,1.00,0.00,74.00
bigdata-proj-m,50,all,17.17,0.00,4.04,0.51,0.00,78.28
bigdata-proj-m,50,0,18.18,0.00,4.04,0.00,0.00,77.78
bigdata-proj-m,50,1,17.82,0.00,5.94,0.00,0.00,76.24
bigdata-proj-m,50,2,17.17,0.00,3.03,1.01,0.00,78.79
bigdata-proj-m,50,3,15.46,0.00,3.09,1.03,0.00,80.41
bigdata-proj-m,51,all,10.13,0.00,3.54,0.76,0.00,85.57
bigdata-proj-m,51,0,11.00,0.00,4.00,1.00,0.00,84.00
bigdata-proj-m,51,1,13.00,0.00,1.00,1.00,0.00,85.00
bigdata-proj-m,51,2,9.18,0.00,3.06,0.00,0.00,87.76
bigdata-proj-m,51,3,8.25,0.00,6.19,0.00,0.00,85.57
bigdata-proj-m,52,all,11.42,0.00,2.79,0.51,0.00,85.28
bigdata-proj-m,52,0,9.18,0.00,3.06,1.02,0.00,86.73
bigdata-proj-m,52,1,9.38,0.00,1.04,0.00,0.00,89.58
bigdata-proj-m,52,2,19.80,0.00,2.97,0.99,0.00,76.24
bigdata-proj-m,52,3,6.12,0.00,3.06,1.02,0.00,89.80
bigdata-proj-m,53,all,22.03,0.00,3.04,0.51,0.00,74.43
bigdata-proj-m,53,0,26.00,0.00,5.00,0.00,0.00,69.00
bigdata-proj-m,53,1,14.00,0.00,2.00,1.00,0.00,83.00
bigdata-proj-m,53,2,19.80,0.00,0.99,0.99,0.00,78.22
bigdata-proj-m,53,3,28.57,0.00,5.10,1.02,0.00,65.31
bigdata-proj-m,54,all,16.38,0.00,5.46,0.74,0.00,77.42
bigdata-proj-m,54,0,16.00,0.00,6.00,1.00,0.00,77.00
bigdata-proj-m,54,1,13.86,0.00,7.92,0.00,0.00,78.22
bigdata-proj-m,54,2,14.14,0.00,6.06,0.00,0.00,79.80
bigdata-proj-m,54,3,22.00,0.00,1.00,1.00,0.00,76.00
bigdata-proj-m,55,all,13.78,0.00,4.01,0.50,0.00,81.70
bigdata-proj-m,55,0,17.00,0.00,5.00,0.00,0.00,78.00
bigdata-proj-m,55,1,10.89,0.00,3.96,1.98,0.00,83.17
bigdata-proj-m,55,2,13.00,0.00,3.00,0.00,0.00,84.00
bigdata-proj-m,55,3,14.14,0.00,5.05,0.00,0.00,80.81
bigdata-proj-m,56,all,25.25,0.00,6.31,0.76,0.00,67.68
bigdata-proj-m,56,0,18.75,0.00,7.29,1.04,0.00,72.92
bigdata-proj-m,56,1,29.00,0.00,5.00,0.00,0.00,66.00
bigdata-proj-m,56,2,23.76,0.00,7.92,0.99,0.00,67.33
bigdata-proj-m,56,3,29.00,0.00,5.00,1.00,0.00,65.00
bigdata-proj-m,57,all,12.94,0.00,3.05,0.51,0.00,83.50
bigdata-proj-m,57,0,12.63,0.00,3.16,0.00,0.00,84.21
bigdata-proj-m,57,1,11.22,0.00,2.04,1.02,0.00,85.71
bigdata-proj-m,57,2,12.50,0.00,5.77,0.96,0.00,80.77
bigdata-proj-m,57,3,15.46,0.00,1.03,1.03,0.00,82.47
bigdata-proj-m,58,all,10.91,0.00,3.30,0.76,0.00,85.03
bigdata-proj-m,58,0,12.24,0.00,3.06,0.00,0.00,84.69
bigdata-proj-m,58,1,8.33,0.00,3.12,0.00,0.00,88.54
bigdata-proj-m,58,2,14.43,0.00,2.06,0.00,0.00,83.51
bigdata-proj-m,58,3,9.09,0.00,4.04,1.01,0.00,85.86
bigdata-proj-m,59,all,14.65,0.00,3.28,0.51,0.00,81.57
bigdata-proj-m,59,0,18.63,0.00,3.92,0.98,0.00,76.47
bigdata-proj-m,59,1,13.73,0.00,3.92,0.98,0.00,81.37
bigdata-proj-m,59,2,16.00,0.00,4.00,1.00,0.00,79.00
